1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
3	3
2	2
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
4	4
1	1
500	200
200	200
200	500
500	200
200	200
200	500
500	200
200	200
200	500
500	200
200	200
200	500
500	200
200	200
200	500
500	200
200	200
200	500
500	200
200	200
200	500
500	200
200	200
200	500
500	200
200	200
200	500
500	200
200	200
200	500
500	200
200	200
200	500
500	200
200	200
200	500
500	200
200	200
200	500
500	200
200	200
200	500
500	200
200	200
200	500
500	200
200	200
200	500
500	200
200	200
200	500
500	200
200	200
200	500
500	200
200	200
200	500
500	200
200	200
200	500
500	200
200	200
200	500
